#data counter
140701.602009 1
344716.792783 2
132819.529264 3
217679.280964 4
106275.984198 5
171635.041981 6
163042.671818 7
169835.592879 8
111462.590256 9
129802.186765 10
112463.421514 11
243590.482321 12
174527.409483 13
101900.527433 14
230657.194927 15
135299.372566 16
154481.392720 17
101430.876617 18
169856.430209 19
189313.173128 20
304334.088122 21
265641.368163 22
172012.324927 23
231202.473733 24
199848.306027 25
122174.808786 26
91943.562783 27
186977.892409 28
170594.032378 29
193311.114965 30
