#data counter step time
20.462137 1 40 58.2947364816
26.018145 2 77 109.545349303
27.751021 3 90 117.856310076
27.849319 4 104 136.299766909
24.474970 5 106 137.856310076
29.081573 6 114 142.381340359
26.664968 7 121 156.299766909
38.881174 8 140 180.42892747
29.193652 9 144 186.622579054
26.639265 10 180 242.839217329
19.682397 11 190 268.329336647
42.276333 12 212 296.605669312
24.615150 13 213 298.846383997
16.891380 14 222 302.601418308
26.343157 15 245 326.407885259
28.993370 16 271 379.013841887
31.800728 17 272 384.814569729
18.265848 18 300 413.937692662
28.487701 19 316 429.47959746
36.054204 20 319 432.991896423
32.055419 21 322 433.937692662
21.736416 22 334 449.991896423
32.598167 23 356 480.205898717
29.567506 24 373 523.416221541
17.365165 25 385 537.091798512
35.170261 26 397 559.974458032
27.039824 27 399 561.014282396
24.314385 28 434 615.872871768
42.896315 29 437 624.132420054
48.364832 30 446 641.872871768
38.946812 31 454 658.872871768
