#data counter step time
0 1 0 0.0
1 2 1 0.0
2 3 12 1.7124675456
3 4 14 9.52884565273
4 5 16 9.66830996814
5 6 18 11.4305488236
6 7 20 11.584373365
7 8 26 15.8906330329
6 9 28 17.5288456527
5 10 37 28.4305488236
4 11 38 30.7124675456
5 12 39 32.4638494502
4 13 41 34.5288456527
3 14 42 34.584373365
2 15 43 35.6683099681
3 16 44 37.2608441493
4 17 46 38.0735697478
3 18 50 42.2608441493
2 19 55 49.4638494502
3 20 56 55.767506847
2 21 58 61.0735697478
3 22 59 63.6899310145
4 23 61 65.2749135518
3 24 65 69.767506847
4 25 67 72.2695991407
5 26 68 72.9808252177
4 27 77 80.6899310145
5 28 78 80.7165337372
4 29 80 82.2749135518
3 30 81 83.6899310145
2 31 82 83.9808252177
3 32 84 87.2230701347
2 33 88 97.7165337372
1 34 89 97.7165337372
2 35 90 103.657458855
3 36 94 116.57980936
4 37 98 119.392932769
3 38 102 123.657458855
4 39 103 125.035107552
3 40 105 127.57980936
2 41 106 130.392932769
3 42 107 130.777116508
4 43 113 138.056462155
5 44 115 139.755717561
4 45 117 142.035107552
3 46 120 147.777116508
2 47 123 150.755717561
1 48 124 158.056462155
2 49 125 176.109721511
3 50 127 176.354589828
4 51 129 177.560979263
5 52 133 181.321410329
4 53 139 184.354589828
5 54 140 190.950157148
4 55 142 193.109721511
3 56 143 194.560979263
4 57 144 195.539031135
3 58 152 207.950157148
2 59 153 210.321410329
1 60 154 212.539031135
2 61 155 217.78751333
3 62 157 228.108345698
4 63 161 231.754408552
3 64 163 237.78751333
4 65 164 239.545476994
5 66 168 241.137785039
6 67 173 242.186692363
7 68 174 247.857825359
6 69 176 254.108345698
5 70 179 257.754408552
6 71 183 258.709595998
5 72 185 261.137785039
4 73 186 262.545476994
5 74 189 269.824444783
4 75 191 271.545476994
3 76 196 275.709595998
2 77 197 277.824444783
1 78 198 279.857825359
2 79 199 286.870298938
1 80 203 300.870298938
2 81 204 318.862155833
3 82 206 320.090473781
4 83 208 322.462469448
3 84 216 339.462469448
2 85 217 340.090473781
3 86 218 340.46603927
2 87 222 344.862155833
3 88 223 351.652522116
2 89 227 356.652522116
1 90 228 357.46603927
2 91 229 370.810376158
3 92 233 385.487806884
4 93 235 387.493402323
3 94 237 387.810376158
2 95 240 396.487806884
3 96 243 401.714086301
4 97 245 408.666457277
3 98 249 413.493402323
4 99 250 415.037534196
3 100 252 415.714086301
2 101 257 428.666457277
3 102 258 433.499595113
2 103 260 435.037534196
3 104 262 438.02742608
4 105 266 441.610005098
3 106 270 453.499595113
4 107 271 453.626108787
3 108 273 456.499595113
2 109 274 458.610005098
3 110 275 459.12774984
4 111 277 459.85159586
5 112 279 460.76113197
6 113 283 465.276266221
7 114 287 466.730939719
8 115 289 467.4647757
7 116 291 467.626108787
6 117 296 473.12774984
7 118 297 473.667937197
8 119 299 474.566913007
7 120 301 474.76113197
8 121 302 477.393513997
7 122 308 482.85159586
6 123 310 485.276266221
5 124 311 485.276266221
6 125 315 487.056991924
7 126 319 488.095743769
6 127 323 490.626108787
5 128 324 494.76113197
4 129 325 496.667937197
3 130 326 497.76113197
4 131 327 497.976054424
3 132 329 499.85159586
4 133 332 505.189882079
5 134 336 509.81499048
4 135 338 514.976054424
3 136 341 517.095743769
4 137 342 517.110261168
5 138 348 524.886558098
4 139 352 531.189882079
5 140 353 531.294068458
6 141 355 532.415963608
5 142 357 534.110261168
6 143 358 534.612376739
