#data counter step time
35.801094 1 28 60.6133875307
28.854683 2 32 66.4680701267
29.532870 3 35 76.0009398837
27.784323 4 36 77.7852632645
27.891365 5 39 88.2552027732
14.695609 6 56 118.301692971
11.637821 7 57 119.509351124
55.350881 8 58 120.606084241
21.345713 9 61 129.855063791
22.446629 10 63 132.301692971
30.913370 11 69 143.351029524
29.017091 12 85 161.368120054
23.221513 13 86 161.589633172
11.504739 14 90 161.987144373
17.113050 15 92 164.482405151
22.779722 16 95 167.369354894
18.380976 17 96 169.368120054
18.917471 18 107 180.545757752
22.487000 19 108 181.987144373
14.544480 20 114 187.523593825
19.881546 21 122 204.489538703
31.084399 22 123 204.607993167
14.449617 23 128 212.20108695
14.353320 24 134 224.99358787
20.019997 25 164 261.802004023
19.422907 26 166 262.119830534
34.310156 27 181 279.119830534
23.373526 28 182 281.267099736
22.128856 29 183 281.78200659
31.514590 30 184 281.802004023
24.120127 31 187 283.474290572
37.523117 32 194 302.119830534
31.013189 33 197 308.298258607
31.651388 34 198 313.949646836
17.409720 35 199 317.359366713
42.268284 36 203 342.627650613
40.753921 37 214 372.381571177
14.603964 38 219 378.985535421
17.505207 39 224 387.076444382
28.375475 40 233 398.451919372
21.088342 41 239 399.921000509
23.380739 42 241 401.832658597
9.380729 43 242 403.571237514
25.792050 44 244 408.713050065
26.738869 45 246 418.451919372
27.589195 46 247 422.921000509
33.018741 47 256 431.627295428
14.633518 48 259 438.260813199
20.514633 49 266 447.775446621
23.913014 50 274 458.996788506
19.108593 51 276 461.105381027
20.113808 52 280 467.219188956
22.079114 53 288 472.29830257
11.805185 54 297 480.908802069
13.389501 55 299 483.29830257
18.813300 56 303 486.10361715
25.494837 57 306 490.29031674
41.497177 58 309 493.795479481
22.864220 59 312 500.29830257
24.158882 60 315 500.908802069
31.992653 61 317 503.10361715
22.092986 62 318 504.29031674
16.364309 63 319 505.37173265
23.375933 64 327 523.747666045
11.665990 65 338 536.598119154
24.260841 66 339 537.008506801
14.179471 67 340 537.18797826
19.332865 68 346 544.930983723
21.744150 69 347 544.932128666
11.997862 70 354 552.035593536
26.106748 71 355 554.037731809
13.641874 72 360 561.918056924
21.240589 73 361 562.276182448
23.846251 74 372 574.764308379
22.215069 75 382 588.997544222
16.964168 76 383 589.215992345
20.254280 77 385 589.251824427
30.940590 78 389 606.15658223
39.220039 79 393 624.247587014
38.948045 80 399 652.195631912
26.594804 81 407 661.790436352
29.196292 82 422 700.829004809
122.762089 83 449 840.215992345
174.238441 84 456 854.215992345
71.938111 85 462 868.247587014
114.323814 86 466 871.215992345
113.715804 87 470 879.195631912
58.101647 88 474 885.247587014
51.386067 89 478 891.215992345
131.013718 90 483 896.195631912
151.055789 91 485 899.215992345
176.436602 92 487 902.247587014
48.011064 93 496 925.215992345
