#data counter
469646.178954 1
135772.282599 2
186896.504674 3
717833.308609 4
447369.874814 5
158081.088918 6
229247.534827 7
449275.700963 8
1131424.441856 9
275776.841943 10
289179.028615 11
586798.024231 12
480836.530279 13
648052.520324 14
454890.123264 15
929572.307051 16
452392.273515 17
224168.172332 18
91706.103907 19
470340.913927 20
608253.610302 21
341750.221452 22
228253.618975 23
358096.327097 24
649912.968857 25
296349.431105 26
56941.820873 27
511317.638663 28
216105.649010 29
697086.914096 30
