#data counter
1369194.512300 1
641674.382542 2
460311.187830 3
1823837.838690 4
2520282.803097 5
940345.991649 6
1508988.664796 7
2090399.660385 8
1428080.693289 9
1224530.895626 10
803752.694603 11
3862148.927732 12
1065065.847060 13
1882342.562656 14
1426348.026981 15
3196452.414003 16
1744022.747863 17
813657.083204 18
466480.537329 19
1869973.950416 20
679184.543333 21
1445373.121662 22
701614.969138 23
1357128.978034 24
959360.973793 25
955761.629497 26
235937.962540 27
2639439.004691 28
495021.936270 29
1914341.612393 30
