#data counter
236722.411362 1
84564.798740 2
86991.043347 3
342466.343277 4
316904.851593 5
114937.237925 6
259181.164363 7
337382.712360 8
247020.693479 9
183879.924006 10
107921.480246 11
687370.430119 12
149959.211960 13
331131.614631 14
208635.264339 15
523612.873507 16
243909.167248 17
112310.881747 18
79644.304061 19
247091.473007 20
147346.273166 21
175360.341720 22
94172.177897 23
213709.117822 24
230011.873589 25
109938.250159 26
46700.501553 27
462501.314682 28
116801.368837 29
415018.263355 30
