#data counter
461983.624810 1
114180.736719 2
241693.876406 3
86904.595699 4
363710.066025 5
116162.875338 6
186323.808861 7
170017.766863 8
226304.634464 9
161962.543488 10
335894.601363 11
134436.029295 12
134785.713536 13
227122.360697 14
313053.099494 15
133399.452997 16
146377.572473 17
352549.180314 18
306871.516830 19
118669.449186 20
109946.634168 21
170277.052693 22
260026.977136 23
219207.077206 24
173081.420543 25
150528.709646 26
170271.545358 27
110114.982418 28
280467.026780 29
107862.326090 30
