#data counter step time
35.567030 1 93 112.994525009
28.716199 2 208 257.622012314
25.819615 3 371 468.01342742
64.227877 4 455 622.766998272
26.855847 5 510 664.186115543
28.666594 6 537 692.588226632
41.051740 7 553 709.921632754
89.094779 8 594 820.588226632
39.107640 9 601 848.588226632
48.438269 10 615 868.588226632
90.731534 11 616 868.588226632
96.342945 12 620 877.430207644
45.463997 13 631 894.430207644
105.320064 14 632 894.430207644
52.248233 15 644 902.430207644
47.921055 16 648 908.430207644
29.324437 17 654 913.186115543
45.598604 18 689 960.921632754
48.981041 19 828 1154.8377812
32.240868 20 833 1176.07864954
25.888575 21 903 1303.70056171
86.062378 22 1199 1680.82500857
53.202156 23 1202 1684.62088802
48.407148 24 1266 1761.62088802
73.126691 25 1267 1765.18027618
51.412509 26 1269 1765.91588119
26.000000 27 1409 1913.93735122
25.264502 28 1412 1915.92059081
57.902412 29 1440 1978.201964
30.039134 30 1500 2040.63701429
44.925207 31 1608 2167.62941287
28.065406 32 1643 2199.13311821
41.300505 33 1688 2268.03533273
57.000000 34 1689 2270.10286869
67.652470 35 1703 2290.03533273
40.779953 36 1710 2299.44500894
53.649383 37 1780 2405.15165345
26.857690 38 1783 2415.59309938
30.382259 39 1804 2434.97535834
27.823447 40 2022 2737.71249656
28.931970 41 2057 2776.92752945
42.160884 42 2181 2927.47636954
25.366110 43 2226 2969.0731727
30.792549 44 2322 3089.73139269
51.272927 45 2335 3106.73139269
78.060452 46 2336 3106.82630066
58.914924 47 2339 3112.82630066
49.754358 48 2343 3113.20627642
84.831909 49 2354 3123.82630066
63.760990 50 2363 3132.73139269
58.497947 51 2368 3134.82630066
41.673167 52 2379 3143.73139269
53.094663 53 2384 3150.82630066
30.000990 54 2390 3157.73139269
41.897893 55 2416 3215.82630066
43.105731 56 2436 3243.82630066
59.609992 57 2456 3264.80485148
88.893550 58 2459 3267.80485148
32.284771 59 2550 3372.62985331
43.022783 60 2557 3377.46052085
27.152236 61 2651 3489.58976065
27.070863 62 2721 3563.06944839
28.871320 63 2726 3577.9407684
26.264528 64 2798 3674.18353369
25.323151 65 2843 3712.91900529
27.300106 66 2851 3719.18353369
31.829923 67 2887 3753.18353369
41.224435 68 2898 3766.91900529
30.275842 69 2944 3830.57451783
25.414275 70 3098 4031.32147662
27.855860 71 3142 4086.68634496
65.063872 72 3154 4100.75021703
49.107285 73 3166 4108.75021703
45.971166 74 3187 4131.45945555
71.716125 75 3198 4140.68634496
25.461395 76 3207 4148.45945555
28.330236 77 3235 4176.68634496
79.145834 78 3254 4205.75021703
27.388371 79 3268 4219.68634496
34.201908 80 3276 4228.75021703
25.974616 81 3316 4269.75762119
55.342496 82 3361 4329.75762119
76.640953 83 3367 4334.99843833
45.586233 84 3377 4348.99843833
39.600233 85 3450 4475.82829357
26.914270 86 3485 4551.13078828
33.514569 87 3584 4703.42965497
43.877812 88 3620 4762.70178429
33.312820 89 3643 4800.19305733
48.061608 90 3653 4823.19305733
25.873957 91 3663 4834.19305733
42.707500 92 3692 4858.70178429
38.185513 93 3697 4862.19305733
88.630253 94 3707 4880.75228273
48.735593 95 3805 5010.11378869
45.219911 96 3977 5242.56722611
33.534513 97 3990 5258.46297045
29.694333 98 4239 5538.02508644
41.589753 99 4292 5599.31302639
55.726804 100 4308 5622.89356425
27.254918 101 4315 5627.31302639
29.115357 102 4336 5655.31302639
38.598316 103 4366 5695.31302639
32.120384 104 4387 5721.1025182
44.010809 105 4414 5768.8126291
40.178692 106 4423 5802.06843665
67.442441 107 4436 5849.51087798
31.263449 108 4462 5879.97299565
26.000000 109 4576 6020.98464851
29.590145 110 4583 6024.91492936
26.459724 111 4653 6095.67048553
31.103400 112 4667 6130.82297805
48.199761 113 4798 6318.84542857
28.173208 114 4816 6361.67924532
43.417065 115 4831 6399.80287242
27.102994 116 4872 6447.80287242
25.036627 117 4913 6496.14640311
40.517859 118 4930 6531.87024255
31.898914 119 5011 6642.80844129
