#data counter step time
0 1 0 0.0
1 2 1 0.0
2 3 12 13.6517562744
3 4 14 16.0672034895
4 5 16 17.4418959292
5 6 21 24.6530924425
6 7 26 26.5743018526
5 8 27 30.6517562744
4 9 28 33.0672034895
3 10 32 36.0672034895
2 11 33 43.4418959292
1 12 34 46.4418959292
2 13 35 49.2609820326
3 14 37 50.9975809591
4 15 40 55.4448003029
3 16 46 70.9975809591
4 17 47 72.0148767094
3 18 49 75.2609820326
2 19 52 84.2609820326
3 20 53 84.6050458216
4 21 55 85.9773907755
3 22 57 86.0148767094
4 23 62 99.2446285259
3 24 64 104.605045822
2 25 67 111.977390775
3 26 68 114.604017372
4 27 70 115.874325529
3 28 72 116.244628526
2 29 75 123.874325529
3 30 77 124.22991232
4 31 81 133.291071209
5 32 83 137.229943602
4 33 85 137.604017372
3 34 86 143.604017372
4 35 91 146.672072104
5 36 93 154.722592632
4 37 95 156.291071209
3 38 98 157.229943602
2 39 99 163.672072104
3 40 100 164.610501908
4 41 104 164.739219542
3 42 108 171.722592632
2 43 111 175.739219542
3 44 112 175.771821278
4 45 114 179.290764612
3 46 116 181.610501908
2 47 121 186.771821278
3 48 122 192.988854811
2 49 124 193.290764612
3 50 125 196.413738604
4 51 127 199.193179489
3 52 135 206.988854811
2 53 136 210.413738604
3 54 137 215.061717185
4 55 139 218.644001417
3 56 143 219.193179489
4 57 144 222.070931142
5 58 148 225.690008837
4 59 150 226.061717185
5 60 153 228.327371479
6 61 155 228.378067978
5 62 159 230.070931142
4 63 162 235.644001417
5 64 165 236.28194344
4 65 167 239.378067978
3 66 168 239.690008837
2 67 171 244.28194344
1 68 172 245.327371479
2 69 173 253.944100497
1 70 177 285.944100497
2 71 178 291.033673034
3 72 181 299.714182124
4 73 182 302.624329745
5 74 187 305.548054035
6 75 190 308.855684174
5 76 193 311.033673034
6 77 194 311.948743961
7 78 201 316.802127878
6 79 203 317.033673034
5 80 204 319.548054035
4 81 205 319.624329745
3 82 206 322.548054035
2 83 209 328.948743961
1 84 210 336.802127878
2 85 211 337.530887268
3 86 213 338.886997177
4 87 215 345.711499646
3 88 221 351.530887268
2 89 224 358.886997177
3 90 225 360.127595516
4 91 229 364.643018428
5 92 231 370.208567878
4 93 233 371.127595516
5 94 237 372.543894526
6 95 238 373.998817364
5 96 240 374.711499646
6 97 244 380.258551595
7 98 248 381.072056367
6 99 250 381.643018428
5 100 251 384.208567878
4 101 254 387.208567878
5 102 257 388.297854544
4 103 259 393.998817364
5 104 262 396.842849624
4 105 264 397.258551595
3 106 265 398.072056367
4 107 266 399.753147953
3 108 270 402.297854544
4 109 271 405.866911413
5 110 276 413.519181388
4 111 277 413.753147953
3 112 278 413.842849624
4 113 279 415.339137176
3 114 286 425.866911413
4 115 287 427.761563108
5 116 289 428.545821024
4 117 291 428.866911413
3 118 292 432.339137176
4 119 295 433.753502635
5 120 299 438.093147557
4 121 305 442.545821024
3 122 306 444.753502635
2 123 307 446.093147557
1 124 308 447.761563108
2 125 309 450.594565004
1 126 313 464.594565004
2 127 314 471.779879758
3 128 316 474.83511086
4 129 318 480.042080538
5 130 324 487.188030989
6 131 326 488.591209242
5 132 328 488.83511086
4 133 331 491.779879758
5 134 336 497.549599681
6 135 338 499.572447454
5 136 340 506.042080538
4 137 341 507.188030989
3 138 344 508.591209242
2 139 347 513.572447454
3 140 348 516.572474645
2 141 350 520.549599681
1 142 353 527.572474645
2 143 354 534.579747762
