#data counter
221379.415748 1
163509.350392 2
279318.257927 3
203404.449164 4
188376.845332 5
415257.336249 6
200807.154034 7
260835.626122 8
125737.487279 9
199650.973434 10
132342.709485 11
196432.702765 12
218180.197155 13
105550.038402 14
128101.241078 15
147704.247402 16
92404.534752 17
197357.898545 18
139794.872586 19
139218.217484 20
184604.469138 21
90413.038408 22
120673.183547 23
212070.312534 24
123989.509858 25
161994.974907 26
93824.531051 27
106570.506502 28
198295.316693 29
125390.086743 30
