#data counter
51.594690 1
48.267569 2
59.777037 3
53.370615 4
48.968769 5
65.313801 6
50.904268 7
52.208590 8
47.108411 9
51.748631 10
48.151069 11
50.763718 12
49.757657 13
41.968811 14
43.528240 15
45.586750 16
41.874624 17
52.418946 18
46.481764 19
44.178924 20
49.240187 21
44.737469 22
46.159136 23
52.662997 24
45.707759 25
52.016983 26
42.027361 27
43.045162 28
53.420307 29
43.927484 30
