#data counter
8099.079271 1
7262.914283 2
8497.487698 3
7936.352325 4
8109.164209 5
6991.882738 6
8588.219835 7
8067.255621 8
6804.170473 9
7210.628799 10
7329.517566 11
8574.835948 12
7296.621270 13
8917.613447 14
9118.227714 15
6980.457542 16
7356.168342 17
8077.436460 18
7202.835751 19
8209.839971 20
7529.523273 21
9184.504245 22
7206.204514 23
7895.421478 24
6793.035690 25
7625.713978 26
7767.153166 27
8517.596175 28
8297.619987 29
8225.509961 30
