#data counter step time
28.133401 1 28 28.1334011354
41.209313 2 39 46.2194037918
42.880539 3 58 85.0303549903
25.032503 4 81 125.5663235
33.458544 5 120 164.034313358
26.902825 6 124 172.677842415
28.983703 7 152 232.111779551
27.551549 8 153 233.663329023
38.411100 9 163 249.128076827
23.422994 10 176 262.161431012
30.764102 11 184 272.156879342
29.157903 12 189 278.314782259
30.359745 13 210 304.67548074
21.218720 14 229 325.927468934
24.401817 15 235 347.392594666
41.837567 16 242 372.230161406
26.253781 17 274 401.900361515
26.923678 18 295 425.830121447
31.897485 19 305 448.17859821
34.363299 20 317 468.541897024
77.750196 21 465 755.541897024
