#data counter step time
0 1 0 0.0
1 2 1 0.0
2 3 12 15.4447081598
3 4 16 22.5972322511
2 5 18 29.4447081598
3 6 21 35.860835431
2 7 23 42.5972322511
3 8 24 42.7067705281
4 9 26 44.7895314617
5 10 32 50.1655826499
6 11 34 51.6477866992
5 12 36 53.7067705281
4 13 39 55.860835431
5 14 40 57.3371758218
6 15 42 60.9739774885
7 16 46 62.4389846871
6 17 51 68.3371758218
5 18 55 70.7895314617
4 19 56 71.9739774885
3 20 57 74.6477866992
2 21 60 76.1655826499
3 22 61 82.6157211334
2 23 63 85.3371758218
3 24 66 92.1156595622
2 25 68 93.6157211334
1 26 71 112.115659562
2 27 72 117.522711941
3 28 74 117.736404798
4 29 78 123.739195073
3 30 80 128.736404798
2 31 85 137.739195073
1 32 86 146.522711941
2 33 87 148.887998098
3 34 89 149.890726067
4 35 91 151.177045391
3 36 99 163.890726067
4 37 100 166.633741151
3 38 102 168.177045391
2 39 103 168.887998098
3 40 106 173.720782735
4 41 108 174.44539434
3 42 110 180.633741151
4 43 113 187.185259642
3 44 117 193.720782735
2 45 118 194.44539434
3 46 121 202.538972425
2 47 123 207.185259642
3 48 126 211.405074469
4 49 128 211.70233955
5 50 130 215.027759695
6 51 136 220.722947543
5 52 140 222.538972425
6 53 141 227.542771575
5 54 143 229.027759695
4 55 146 231.70233955
5 56 147 234.468738021
6 57 150 235.183772367
7 58 151 237.322875966
6 59 153 237.405074469
5 60 159 243.722947543
4 61 162 244.542771575
3 62 163 244.542771575
4 63 164 245.18783978
3 64 166 245.322875966
2 65 169 253.18783978
1 66 170 254.468738021
2 67 171 257.384206781
3 68 175 268.004765357
2 69 177 268.384206781
1 70 180 291.004765357
2 71 181 296.911438574
3 72 184 298.576591489
4 73 187 302.504098162
3 74 191 310.911438574
4 75 194 318.236831292
5 76 196 319.674743053
6 77 198 321.3432117
5 78 200 321.576591489
4 79 201 322.504098162
3 80 208 335.236831292
4 81 209 339.082755291
3 82 211 342.674743053
2 83 212 344.3432117
3 84 215 350.668430608
4 85 217 350.749258645
3 86 219 353.082755291
4 87 220 355.946369502
5 88 224 358.132376562
4 89 228 364.749258645
5 90 231 373.027556335
4 91 235 375.946369502
5 92 236 376.101508024
6 93 238 378.145857257
5 94 240 379.668430608
4 95 243 384.132376562
5 96 246 387.110857808
4 97 250 390.027556335
3 98 251 390.101508024
2 99 252 392.145857257
3 100 253 393.470991665
4 101 255 396.065289491
3 102 259 401.065289491
2 103 264 410.110857808
3 104 265 411.28953746
4 105 269 417.091435187
5 106 271 418.107239584
4 107 273 419.28953746
5 108 276 421.418299865
4 109 278 425.091435187
3 110 281 425.470991665
4 111 282 427.908829241
3 112 284 429.107239584
4 113 289 435.783735204
3 114 291 438.418299865
4 115 292 441.029026963
3 116 296 447.908829241
4 117 299 449.609358818
3 118 301 449.783735204
4 119 302 449.934743138
3 120 304 455.029026963
4 121 309 458.608240573
5 122 311 463.74064446
6 123 314 465.13046598
5 124 317 469.609358818
4 125 318 469.934743138
5 126 320 470.272080425
4 127 325 474.74064446
3 128 326 478.608240573
2 129 327 484.608240573
1 130 328 484.608240573
2 131 329 487.220308918
3 132 333 493.648937971
4 133 335 498.039164546
3 134 337 498.220308918
2 135 342 515.039164546
1 136 343 519.648937971
2 137 344 526.999444312
3 138 346 527.075839479
4 139 348 532.417421131
5 140 352 535.195179195
6 141 354 536.03676656
5 142 362 541.03676656
4 143 365 543.417421131
