#data counter step time
0 1 0 0.0
1 2 1 0.0
2 3 12 12.0549688078
3 4 14 20.9426523331
4 5 16 24.7627237485
3 6 20 32.0549688078
4 7 21 33.629385294
5 8 27 37.2453637135
4 9 31 43.9426523331
3 10 34 44.629385294
2 11 35 44.7627237485
3 12 36 47.8459488256
2 13 38 51.2453637135
3 14 41 56.0095344568
4 15 43 58.8735534881
5 16 45 59.9532802124
4 17 49 61.8459488256
5 18 50 64.9627111469
6 19 54 69.1605746793
5 20 58 73.0095344568
6 21 61 78.8805849645
5 22 65 79.9532802124
4 23 66 81.8735534881
5 24 67 83.8574072078
4 25 69 86.1605746793
3 26 70 87.9627111469
4 27 73 90.7415593135
3 28 77 92.8805849645
2 29 78 97.8574072078
3 30 80 98.3094675823
4 31 81 100.456268992
3 32 87 107.741559314
4 33 88 108.865963628
3 34 90 109.309467582
4 35 93 114.749508702
3 36 97 123.456268992
4 37 98 124.665845819
3 38 100 125.865963628
4 39 101 126.921676474
5 40 105 133.541246812
6 41 111 136.745961627
5 42 113 138.665845819
4 43 116 141.541246812
5 44 117 142.489216608
4 45 119 143.749508702
3 46 124 152.921676474
2 47 125 153.489216608
1 48 126 162.745961627
2 49 127 172.757695511
3 50 131 178.315242504
4 51 133 183.542178794
3 52 135 183.757695511
4 53 138 190.514010839
3 54 144 195.315242504
2 55 145 197.542178794
1 56 146 198.514010839
2 57 147 204.938104459
3 58 151 216.50211592
4 59 153 219.433792892
5 60 157 221.604360584
4 61 159 221.938104459
3 62 164 229.604360584
2 63 165 233.433792892
1 64 166 233.50211592
2 65 167 237.86510374
3 66 171 252.335223945
4 67 173 253.720648017
3 68 177 257.86510374
4 69 178 259.348912862
3 70 180 263.335223945
4 71 181 264.379684929
5 72 188 274.282896104
4 73 192 282.720648017
5 74 193 284.537584219
4 75 195 285.348912862
3 76 198 290.379684929
2 77 199 290.379684929
3 78 200 292.337211667
2 79 202 301.537584219
3 80 205 309.156970663
4 81 209 316.940262788
5 82 211 317.722602017
6 83 215 319.725033864
5 84 217 321.337211667
4 85 218 323.156970663
3 86 221 327.725033864
2 87 222 328.722602017
1 88 225 345.940262788
2 89 226 356.646160057
3 90 228 356.91227288
4 91 230 361.076548996
5 92 238 367.633598849
4 93 242 369.076548996
5 94 243 376.030484201
4 95 245 376.646160057
5 96 246 379.647977648
6 97 248 379.712617809
5 98 250 379.91227288
6 99 251 382.815064008
5 100 255 384.633598849
6 101 256 385.645901104
5 102 262 393.647977648
4 103 263 393.712617809
5 104 264 394.425316412
4 105 272 402.645901104
5 106 273 404.237518246
4 107 275 405.425316412
5 108 276 407.226689836
4 109 278 408.030484201
3 110 281 411.815064008
2 111 284 421.226689836
1 112 285 427.237518246
2 113 286 439.17865403
3 114 288 441.767507748
4 115 292 448.26839516
3 116 296 452.767507748
4 117 298 453.558032401
5 118 299 456.993471575
6 119 304 458.559482646
7 120 306 458.765057542
6 121 308 459.17865403
5 122 309 462.26839516
4 123 312 468.26839516
5 124 315 471.707745824
4 125 319 472.559482646
3 126 320 479.993471575
4 127 321 480.897057436
3 128 325 487.765057542
2 129 328 488.707745824
3 130 329 491.423899656
2 131 331 494.897057436
3 132 334 495.74040762
4 133 336 499.43747545
3 134 338 502.423899656
4 135 343 506.555687195
5 136 345 507.96404291
6 137 347 510.044695064
5 138 349 510.43747545
6 139 356 517.567149222
5 140 358 518.96404291
6 141 359 519.947131511
5 142 361 520.555687195
4 143 362 521.044695064
