#data counter step time
36.598447 1 26 36.5984470429
32.169665 2 30 42.7681118895
27.227579 3 31 53.3150823857
23.802342 4 112 134.909037836
41.336141 5 138 179.555475431
28.120480 6 139 181.675955887
20.023334 7 140 183.673128253
15.127662 8 161 228.128600197
31.168497 9 173 242.000938133
33.356811 10 185 252.267472665
24.800807 11 218 277.513600513
34.657265 12 307 477.137447145
28.441863 13 312 491.264492564
47.223625 14 341 515.488117892
20.598626 15 345 520.987037574
20.533083 16 381 554.885912705
40.643322 17 393 580.065518603
31.507084 18 396 588.762060844
38.885410 19 417 610.647471181
23.315458 20 428 623.372831145
21.112595 21 487 722.278829202
31.328888 22 490 724.166234247
28.560314 23 501 733.839142744
23.512338 24 502 737.351480645
26.406768 25 503 743.963426072
29.762846 26 528 780.150578612
23.000000 27 549 799.197715249
33.808129 28 558 805.282977833
35.677794 29 573 836.198034009
23.460990 30 622 895.416192594
25.953830 31 627 903.169851978
22.686781 32 663 957.451448396
47.936651 33 673 966.764667178
36.430836 34 685 995.199677845
23.000000 35 700 1013.61766058
32.627109 36 703 1013.82678646
37.790874 37 706 1019.61766058
36.323645 38 762 1067.74994825
27.780104 39 770 1078.06040655
30.320020 40 779 1088.58874565
30.691557 41 780 1090.28030287
25.978243 42 800 1105.0245333
32.047568 43 821 1126.10333604
28.609080 44 822 1128.58874565
36.283095 45 836 1156.73190812
23.149684 46 863 1179.53968103
35.443788 47 895 1209.26544495
26.151447 48 930 1240.957696
31.145872 49 931 1243.80624919
35.918570 50 933 1250.87626582
26.888992 51 962 1299.57609143
23.838871 52 965 1306.41496256
20.148979 53 1004 1336.82522229
21.103045 54 1035 1356.82522229
37.160204 55 1097 1430.24904414
41.953164 56 1106 1453.24904414
33.898635 57 1117 1478.24904414
322.292750 58 1210 1832.20067062
408.539738 59 1239 1844.20067062
429.749517 60 1273 1861.20067062
78.123715 61 1307 1874.9318266
126.642917 62 1323 1879.11433475
202.311732 63 1324 1880.20067062
223.912803 64 1330 1882.11433475
232.386579 65 1348 1888.9318266
56.224862 66 1357 1893.11433475
60.629544 67 1449 1943.20067062
24.718449 68 1461 1958.11433475
23.285120 69 1462 1960.20067062
31.684057 70 1490 1997.27480515
33.956739 71 1506 2014.59833458
42.447069 72 1528 2046.64159571
24.299282 73 1549 2074.82309513
32.188568 74 1570 2097.64159571
23.216031 75 1612 2150.95577442
19.798147 76 1627 2170.21962054
42.975404 77 1651 2210.21962054
51.995469 78 1684 2286.94098545
30.665465 79 1719 2324.31817091
30.472497 80 1720 2331.79066742
28.115776 81 1750 2379.47394417
39.764580 82 1790 2424.24277908
27.228892 83 1800 2434.20379444
31.178083 84 1802 2449.13399637
28.434187 85 1838 2531.82471833
29.763631 86 1878 2573.64247529
23.118033 87 1891 2590.11976878
36.359260 88 1892 2593.00173558
33.568997 89 1902 2600.68876582
36.440705 90 1911 2608.12947071
30.640042 91 1954 2637.68876582
37.518176 92 1963 2643.68876582
47.454898 93 1990 2663.11976878
36.264953 94 1998 2671.12947071
40.686712 95 2065 2770.38965388
15.454732 96 2077 2781.6313689
29.897405 97 2127 2854.414903
32.630063 98 2135 2872.17715088
36.064422 99 2169 2935.25263558
26.030019 100 2171 2938.28265483
40.147652 101 2206 3006.79733881
31.113236 102 2250 3055.29457682
25.540985 103 2255 3065.69653828
30.668159 104 2267 3082.27409898
25.031892 105 2275 3097.52239337
50.909701 106 2303 3170.17414559
25.960639 107 2336 3229.07580837
26.558611 108 2344 3232.63441983
20.051316 109 2347 3240.11516925
25.778055 110 2375 3278.83241134
30.878129 111 2377 3282.05435602
38.552917 112 2387 3297.38532846
23.600830 113 2408 3316.86613099
20.684485 114 2421 3328.82897112
36.328491 115 2463 3408.01081386
30.219414 116 2491 3441.47128917
29.926573 117 2499 3450.52057325
23.170435 118 2505 3454.59400031
31.954437 119 2509 3464.47128917
21.143713 120 2512 3470.52057325
23.044452 121 2564 3514.14176629
13.812686 122 2604 3551.91373693
17.006497 123 2671 3657.05368822
17.709808 124 2672 3660.04719163
29.440011 125 2685 3675.68081473
36.996240 126 2701 3697.05368822
32.382314 127 2705 3708.97497105
33.424585 128 2735 3739.74298205
34.840346 129 2740 3748.58332771
41.122178 130 2765 3772.83241134
29.988919 131 2766 3776.74298205
42.407337 132 2784 3794.34923973
32.216162 133 2821 3845.44227242
32.261753 134 2876 3919.11879191
35.242356 135 2877 3931.77252439
24.325954 136 2900 3961.22446174
19.887780 137 2915 3974.75859668
28.265794 138 2917 3974.87081691
14.917135 139 2933 3991.75859668
22.797444 140 2935 3993.84146173
30.451932 141 2971 4031.64287646
26.000000 142 2972 4031.64929027
33.155801 143 2993 4053.04753443
57.718988 144 3058 4188.68578627
25.964459 145 3060 4197.67786702
27.583304 146 3078 4226.47642856
47.687334 147 3133 4291.67759895
29.444760 148 3161 4337.49865804
