#data counter step time
0 1 0 0.0
1 2 1 0.0
2 3 12 0.82003489316
3 4 15 1.99411142656
4 5 16 7.57588328153
5 6 19 7.61215254777
6 7 23 16.5330220205
5 8 27 18.9941114266
6 9 30 20.8334331764
7 10 32 22.3074245615
8 11 35 22.6455885869
9 12 37 24.4418724314
8 13 43 26.8200348932
7 14 44 27.5758832815
6 15 45 27.9941114266
7 16 46 29.1804368707
8 17 51 30.414439475
7 18 53 30.5330220205
8 19 54 31.6182380307
9 20 56 31.6192661205
8 21 57 33.5330220205
7 22 59 34.8334331764
6 23 60 36.3074245615
5 24 61 36.3074245615
6 25 62 37.4119751787
7 26 68 41.2742752573
8 27 73 45.1884674572
7 28 77 47.414439475
8 29 78 47.5893832628
7 30 80 48.6182380307
6 31 82 49.1804368707
5 32 83 54.8334331764
6 33 87 56.5940089012
5 34 88 57.4119751787
4 35 91 60.1804368707
5 36 92 62.9714550519
6 37 97 63.7293360136
5 38 101 65.6182380307
4 39 102 67.414439475
3 40 103 67.9714550519
4 41 104 69.3292918021
3 42 106 70.414439475
2 43 109 77.7293360136
3 44 110 80.3557546088
4 45 112 84.2384655665
5 46 116 85.4669547645
6 47 124 92.612014221
7 48 126 96.2572211051
6 49 129 98.2384655665
5 50 131 98.3292918021
6 51 132 100.157271813
5 52 134 102.466954765
4 53 135 103.355754609
5 54 138 104.825842881
6 55 142 105.948727969
5 56 144 106.612014221
6 57 145 109.148917355
5 58 151 112.238465566
6 59 153 114.307530557
5 60 154 115.825842881
4 61 155 120.157271813
5 62 159 122.156454649
6 63 161 125.398070812
5 64 163 125.948727969
4 65 164 126.148917355
3 66 167 132.148917355
4 67 170 135.970650006
3 68 172 136.156454649
4 69 173 137.766995807
3 70 175 139.398070812
4 71 178 144.354078752
3 72 180 149.970650006
4 73 185 166.652536444
3 74 187 167.354078752
4 75 188 169.023990522
3 76 190 169.766995807
2 77 195 183.652536444
1 78 196 192.023990522
2 79 197 194.705608161
3 80 201 196.611448185
2 81 205 214.705608161
1 82 206 216.611448185
2 83 207 227.62853921
3 84 211 248.569184059
2 85 213 253.62853921
3 86 216 263.895978783
2 87 220 271.569184059
1 88 221 271.895978783
2 89 222 278.870279102
3 90 226 287.634883306
2 91 230 295.870279102
3 92 231 296.570847744
4 93 235 300.728361959
3 94 237 301.570847744
2 95 238 304.634883306
3 96 239 305.491515039
4 97 241 310.423660539
5 98 243 311.456350243
6 99 251 320.541277178
5 100 253 320.728361959
4 101 254 322.491515039
3 102 259 328.541277178
4 103 260 332.672898202
3 104 262 333.423660539
2 105 263 334.456350243
3 106 264 335.676925646
4 107 268 347.118878925
5 108 272 350.048629673
6 109 274 351.190803587
7 110 277 353.037606455
8 111 278 353.504723793
7 112 281 358.672898202
6 113 283 358.676925646
5 114 289 364.048629673
4 115 290 365.190803587
5 116 293 366.35351274
4 117 295 367.118878925
5 118 296 369.516970376
4 119 298 369.672898202
5 120 301 371.26334192
4 121 303 373.048629673
3 122 304 374.35351274
4 123 305 374.560084172
3 124 311 380.516970376
4 125 314 382.307026968
3 126 316 385.26334192
4 127 319 386.90199026
5 128 323 394.151835584
4 129 325 394.560084172
5 130 326 395.64981512
4 131 328 396.307026968
5 132 329 397.613709368
4 133 331 397.90199026
5 134 332 398.261450066
6 135 340 408.702572769
7 136 344 413.409500704
6 137 345 415.261450066
5 138 347 415.64981512
4 139 352 417.151835584
3 140 353 420.613709368
2 141 354 425.702572769
