#data counter
563936521.157747 1
552474013.738711 2
596190478.700334 3
569392674.365498 4
577982036.665120 5
544421864.014930 6
528029396.300375 7
526018175.148625 8
547793861.527744 9
548534392.120473 10
578695864.066200 11
556244417.490469 12
544138193.071667 13
542414067.357679 14
569552152.709718 15
555971792.536461 16
541465337.776710 17
560970816.607017 18
524194153.520624 19
543641429.832481 20
620673864.329012 21
540807092.779111 22
542958700.810692 23
599126639.814588 24
561621020.913007 25
560200049.256317 26
565065160.859592 27
567452496.116634 28
593322399.058822 29
543608862.382257 30
