#data counter
8.182499 1
6.250797 2
4.914668 3
4.617896 4
9.919765 5
8.456334 6
5.643893 7
6.611124 8
5.800017 9
9.676045 10
8.987431 11
7.874645 12
4.733152 13
7.563730 14
9.100851 15
7.654588 16
4.711107 17
9.748188 18
6.357139 19
7.206401 20
6.710981 21
6.795348 22
6.924129 23
7.100360 24
6.888793 25
10.733871 26
9.265074 27
5.328804 28
7.170815 29
10.961015 30
