#data counter
2379719.650729 1
2143438.641022 2
1203791.500803 3
1083539.645133 4
4920639.040113 5
2695983.423486 6
1620020.517504 7
2140207.584543 8
2517290.723624 9
3249575.289356 10
4626514.123544 11
2354078.174858 12
1918087.010120 13
2431550.005822 14
4077177.394433 15
2561522.135907 16
1210054.819024 17
3675743.312617 18
1867771.910606 19
2239213.363677 20
2283130.106299 21
2632166.880872 22
2387704.471554 23
2152579.372103 24
2784712.585633 25
4597395.416085 26
3297364.385270 27
1534915.274380 28
2586243.097164 29
4795897.662613 30
