#data counter
2762071.558782 1
1670070.216153 2
1355762.614443 3
932844.416128 4
3384915.062872 5
2281149.522100 6
1324854.590452 7
2051467.708295 8
1957742.645662 9
3163222.674072 10
3145438.570180 11
1676710.989671 12
1535966.028216 13
1709313.089802 14
2798947.458370 15
2272169.178168 16
1082273.333187 17
3519063.312483 18
1528879.614393 19
1912235.384990 20
1922332.570835 21
1746338.236723 22
2047657.527986 23
1483705.105430 24
2092004.476900 25
3469030.299408 26
2824424.170883 27
1243331.520193 28
2259959.608385 29
3650129.686584 30
