#data counter step time
0 1 0 0.0
1 2 1 0.0
2 3 12 4.22725419422
3 4 14 4.79590312261
4 5 16 10.984844922
3 6 22 21.2272541942
2 7 23 24.7959031226
3 8 26 36.5998771286
2 9 28 36.984844922
3 10 29 42.9870214357
4 11 33 47.515458391
5 12 35 48.9065938067
6 13 39 50.5199333008
5 14 41 50.5998771286
4 15 44 55.515458391
5 16 45 58.103285968
4 17 51 59.9870214357
3 18 52 66.103285968
4 19 55 68.2659600886
5 20 57 71.5825416284
6 21 60 72.043194104
5 22 61 73.5199333008
4 23 62 77.9065938067
5 24 66 80.5896920801
6 25 70 84.0714581219
5 26 76 85.2659600886
4 27 77 88.5825416284
5 28 78 89.5866715833
6 29 80 90.0391505081
5 30 82 91.2659600886
4 31 83 95.0714581219
5 32 84 95.6621415512
4 33 90 97.5896920801
3 34 91 101.039150508
4 35 94 106.959008202
3 36 98 109.586671583
4 37 99 114.195545811
3 38 101 114.959008202
2 39 102 121.662141551
3 40 105 128.179449683
2 41 107 128.195545811
3 42 108 130.168837399
2 43 114 136.179449683
3 44 115 138.334118376
2 45 117 141.168837399
3 46 120 144.560690805
4 47 122 147.469574297
3 48 126 149.334118376
4 49 127 149.855198772
3 50 131 155.560690805
2 51 134 161.469574297
3 52 135 165.452837719
4 53 137 169.913616676
5 54 141 173.474972411
4 55 143 175.855198772
5 56 146 179.529435677
4 57 148 182.452837719
5 58 151 187.331259075
4 59 155 189.913616676
3 60 156 193.529435677
4 61 157 194.143539239
3 62 159 196.474972411
4 63 164 204.999945124
5 64 166 205.786026927
4 65 168 207.331259075
3 66 169 208.143539239
4 67 172 212.088422297
5 68 174 212.248097051
6 69 180 223.378331203
7 70 184 225.388057873
6 71 185 226.248097051
5 72 187 227.999945124
4 73 188 228.786026927
5 74 191 230.891865868
4 75 195 235.088422297
5 76 196 235.447887604
6 77 199 237.99088137
7 78 203 239.345306419
8 79 205 240.727556977
9 80 206 241.382108441
8 81 208 241.891865868
7 82 209 243.248097051
6 83 211 243.248097051
5 84 212 243.378331203
6 85 213 243.696680464
7 86 217 247.085248765
8 87 220 252.461882512
7 88 224 253.345306419
6 89 232 257.696680464
5 90 233 261.345306419
4 91 234 261.447887604
3 92 235 263.248097051
4 93 236 265.330372261
3 94 240 267.891865868
4 95 242 271.945047195
3 96 246 279.330372261
2 97 247 280.696680464
3 98 248 282.943622247
2 99 250 285.330372261
3 100 253 299.798894482
2 101 255 299.943622247
3 102 258 315.549817603
2 103 262 316.798894482
3 104 263 320.853494853
4 105 265 324.019755617
3 106 267 329.549817603
4 107 268 330.395340607
5 108 272 332.827910385
6 109 275 333.522604737
7 110 278 336.361352287
6 111 280 337.853494853
7 112 285 345.083045289
6 113 290 347.019755617
5 114 291 349.827910385
6 115 292 350.360196335
5 116 294 350.361352287
4 117 295 350.395340607
5 118 296 351.572862476
4 119 304 355.827910385
5 120 305 357.290912434
6 121 307 358.059148673
5 122 309 361.360196335
4 123 312 365.083045289
3 124 313 365.572862476
2 125 314 366.059148673
3 126 315 367.256700483
4 127 319 367.484576191
5 128 321 367.59460427
4 129 325 371.290912434
3 130 330 375.256700483
4 131 331 376.944951451
5 132 333 377.368284404
6 133 336 377.932786652
7 134 337 378.237387008
6 135 339 381.59460427
5 136 340 384.484576191
4 137 348 398.237387008
3 138 349 399.944951451
2 139 350 400.368284404
1 140 351 402.944951451
2 141 352 405.798158741
3 142 354 407.387863485
2 143 360 419.798158741
