#data counter step time
30.551801 1 16 30.5518013203
34.468669 2 25 54.0204699206
23.751307 3 26 57.7717764322
17.000000 4 36 75.1422823632
34.370506 5 39 78.1422823632
31.887751 6 48 91.0839674379
29.687837 7 51 91.7718042765
17.384673 8 54 95.1564775507
24.185909 9 59 105.342386662
19.921126 10 62 108.263512507
29.184116 11 69 123.447628795
25.236263 12 72 131.68389161
26.110979 13 77 143.794870415
31.019161 14 82 151.814031113
24.290675 15 103 171.87790506
18.068417 16 113 180.56643257
21.020797 17 115 184.587229935
26.971939 18 131 224.476599749
26.650449 19 145 234.127048923
7.590315 20 146 234.127048923
16.848996 21 168 261.109715138
17.113106 22 169 261.260718907
21.060314 23 174 264.147612672
39.114554 24 175 266.087298999
5.000000 25 189 273.895368319
22.727789 26 190 275.109715138
20.552317 27 203 282.895368319
12.562916 28 206 285.169981349
14.504640 29 210 291.674621113
11.574358 30 211 292.607065615
24.775461 31 216 295.607065615
20.358087 32 217 298.032707876
11.991799 33 231 314.687771089
11.000000 34 232 314.687771089
11.263400 35 255 346.972082825
8.000000 36 256 346.972082825
25.391260 37 265 352.708683215
10.027081 38 275 361.906633939
20.187688 39 276 362.840055795
14.972919 40 277 362.879553183
18.598025 41 281 364.906633939
18.943833 42 284 371.371709306
29.953403 43 299 390.325112366
14.071708 44 302 392.387075308
22.920672 45 303 395.315366816
28.069582 46 304 395.394694355
25.197935 47 309 406.585009929
23.579358 48 312 413.164368063
30.964760 49 321 430.129128513
15.223353 50 322 434.352481249
34.388908 51 329 454.741388787
42.722202 52 337 494.530698881
30.457187 53 342 510.987885582
34.408151 54 351 534.396036119
19.318731 55 354 542.714767494
30.165282 56 361 555.880049857
8.709636 57 368 563.326073997
18.031389 58 371 565.616437998
9.595153 59 381 578.51697987
21.595752 60 382 579.921826465
8.000000 61 402 588.408402373
9.081012 62 403 590.696779272
20.891423 63 404 591.408402373
19.121916 64 410 601.81869513
19.577911 65 411 604.396606069
43.549358 66 432 630.945964217
11.641206 67 433 634.695813389
24.603607 68 434 637.315951959
22.738655 69 437 640.054607377
9.288690 70 444 648.447296795
32.462793 71 449 656.158606758
19.045877 72 450 659.493173575
25.452120 73 455 676.945293264
44.351447 74 464 707.296740436
14.742260 75 476 724.904242885
28.611544 76 492 742.51578655
23.333545 77 493 745.84933178
14.741667 78 499 752.874102174
23.283104 79 500 755.132435312
20.000000 80 501 758.874102174
17.066070 81 510 778.631337855
41.200807 82 517 781.565267802
29.612362 83 532 808.993596833
25.473656 84 539 814.467252638
18.317869 85 541 815.78512183
28.050379 86 545 826.210761469
14.085502 87 561 855.339651422
23.000000 88 564 863.074633542
27.742019 89 571 874.074633542
64.734982 90 589 906.074633542
40.882704 91 591 907.339651422
33.935313 92 599 924.339651422
47.836280 93 601 929.074633542
89.173731 94 609 938.339651422
49.297785 95 610 941.339651422
22.978848 96 622 952.339651422
50.926748 97 628 958.339651422
14.683225 98 632 963.339651422
19.449914 99 633 966.074633542
72.873639 100 635 967.161982473
91.566812 101 638 974.339651422
60.367719 102 650 1011.82116806
28.653384 103 655 1023.5652678
22.561755 104 665 1028.5652678
14.507915 105 666 1031.82116806
15.523758 106 682 1059.69823015
17.754359 107 684 1061.17447218
12.977573 108 690 1067.69823015
45.314229 109 693 1069.42011308
21.436249 110 705 1086.68935244
21.814466 111 728 1121.69823015
18.225619 112 748 1164.62948864
19.522166 113 760 1181.62948864
31.000000 114 763 1185.86225288
26.882220 115 766 1189.99162026
20.424650 116 767 1193.41626978
38.141024 117 778 1220.55729364
18.570446 118 781 1225.12773936
22.992817 119 782 1231.12055651
20.545336 120 792 1252.29982036
34.633928 121 793 1254.75448473
42.962541 122 801 1278.26236109
28.431004 123 806 1283.69336475
38.045362 124 819 1307.73872637
29.157948 125 822 1310.89667423
24.267081 126 825 1315.16375542
26.530226 127 832 1327.69398114
34.532522 128 851 1351.93834861
22.680440 129 852 1358.30865736
28.941167 130 860 1376.24982391
41.676251 131 876 1415.21719642
11.366738 132 877 1415.58393459
14.696745 133 882 1426.58935268
24.308673 134 883 1431.89260771
40.924660 135 890 1453.51401305
26.431332 136 899 1465.9453449
17.249875 137 902 1469.19522011
11.484219 138 911 1480.29867848
23.323515 139 914 1481.51873546
31.197128 140 918 1500.49580648
36.944505 141 927 1517.44031182
10.172076 142 934 1521.67153801
25.059150 143 939 1528.49946171
18.005447 144 945 1531.67698519
14.086657 145 946 1534.76364172
19.614852 146 954 1546.37849379
20.721393 147 955 1550.09988673
31.236606 148 964 1573.33649253
17.327554 149 967 1582.66404642
15.912968 150 981 1597.67437287
15.087032 151 986 1598.76140453
13.536899 152 987 1601.06639103
36.097358 153 988 1601.76140453
20.056016 154 995 1618.61998277
34.794979 155 1005 1633.41496181
16.264124 156 1019 1644.96842673
19.246227 157 1027 1653.21465371
16.598156 158 1032 1659.73393976
26.851204 159 1035 1663.06585755
25.203397 160 1036 1664.96842673
29.709916 161 1047 1678.44385601
21.103233 162 1048 1682.54708938
8.695429 163 1062 1694.38671534
25.479641 164 1064 1695.43031212
24.260974 165 1069 1699.69128592
22.000000 166 1077 1708.38671534
33.085369 167 1097 1749.9111765
26.914631 168 1111 1762.82580756
22.920004 169 1112 1766.49946171
27.442127 170 1114 1766.9111765
20.756293 171 1125 1779.82580756
24.299613 172 1127 1780.9111765
30.552962 173 1130 1783.49946171
30.447504 174 1135 1791.9111765
21.741022 175 1140 1798.50788176
31.525167 176 1144 1816.03304904
41.489130 177 1151 1837.52217934
27.512165 178 1158 1845.0343442
16.276074 179 1159 1850.3104179
32.420584 180 1166 1871.73100165
32.984113 181 1177 1890.71511495
10.909172 182 1178 1891.09200376
20.779433 183 1185 1903.87143669
25.477943 184 1189 1918.34937944
48.090490 185 1199 1943.43986985
16.906488 186 1203 1949.34635777
26.433058 187 1208 1967.77941533
11.200171 188 1221 1987.64789717
35.974893 189 1228 1995.75430863
19.007916 190 1237 2003.40842853
11.194002 191 1255 2015.40051234
20.646522 192 1258 2017.40842853
31.992084 193 1260 2021.40051234
19.154800 194 1263 2022.44772638
15.676046 195 1264 2023.40842853
18.722543 196 1273 2030.44772638
23.326923 197 1275 2030.44772638
23.053968 198 1278 2032.40051234
14.591941 199 1285 2038.44772638
21.106603 200 1292 2046.40051234
20.109106 201 1293 2052.44772638
27.247273 202 1299 2060.40051234
26.050465 203 1315 2082.56251088
14.388322 204 1320 2085.95083269
17.948449 205 1325 2093.51204627
21.611678 206 1326 2093.56251088
22.897496 207 1335 2107.51204627
34.394487 208 1341 2128.68317319
34.038937 209 1355 2145.72210972
25.770560 210 1366 2161.11755089
26.231829 211 1372 2164.34937944
26.251533 212 1373 2165.72210972
23.047404 213 1390 2175.11755089
17.468079 214 1399 2186.89397253
18.179254 215 1401 2189.11755089
27.731152 216 1412 2198.34937944
31.453019 217 1417 2201.3469912
35.807182 218 1418 2206.89397253
36.543491 219 1422 2211.04160439
32.125074 220 1430 2224.77100533
20.161214 221 1431 2227.93221933
27.771108 222 1436 2244.70332701
13.128049 223 1449 2270.54709049
40.715715 224 1450 2271.4190418
15.446071 225 1461 2279.9445206
21.951359 226 1462 2281.4984494
25.651506 227 1472 2291.59602651
17.352674 228 1475 2291.94870014
16.247127 229 1478 2294.94870014
19.974203 230 1484 2310.2159262
28.728750 231 1486 2310.24172279
34.878349 232 1500 2328.0942754
21.490665 233 1503 2334.30245448
13.163330 234 1520 2366.52684676
9.224812 235 1521 2367.75165873
41.618683 236 1533 2401.37034158
19.287812 237 1534 2403.65815388
20.894543 238 1537 2413.55269735
14.076028 239 1550 2460.24509712
17.808064 240 1551 2464.05316101
7.994740 241 1561 2488.52354907
41.644428 242 1566 2494.69758892
12.405560 243 1578 2513.59790951
34.668800 244 1583 2518.19234921
22.857599 245 1586 2525.45550826
21.487601 246 1590 2529.94310915
24.047558 247 1600 2539.99066721
18.437406 248 1604 2544.42807281
30.754866 249 1618 2561.18293831
20.712609 250 1624 2563.56030753
18.538173 251 1634 2568.09848015
7.147884 252 1637 2569.18293831
15.084458 253 1638 2572.18293831
14.419472 254 1645 2577.56030753
18.640281 255 1651 2582.48664452
21.627937 256 1656 2585.09848015
10.411410 257 1663 2590.81966282
17.777089 258 1664 2592.26373398
22.144519 259 1665 2597.40825329
22.278817 260 1672 2605.09848015
12.996518 261 1677 2613.54366884
30.866890 262 1678 2614.54715106
46.785422 263 1687 2649.32909113
12.931334 264 1701 2662.6881957
18.297738 265 1707 2666.75686143
23.423446 266 1709 2668.45912322
19.000000 267 1710 2673.6881957
34.862549 268 1721 2693.86333343
19.614989 269 1733 2712.64269117
17.114170 270 1734 2712.75686143
33.164369 271 1735 2716.0277024
11.679756 272 1754 2736.27693703
14.236989 273 1755 2738.59718065
28.000000 274 1763 2753.27693703
28.413799 275 1773 2764.36019211
33.532078 276 1776 2764.59718065
44.551310 277 1793 2791.6104171
26.458956 278 1799 2806.44397742
41.906971 279 1800 2806.44397742
22.972534 280 1801 2807.38365289
34.182882 281 1810 2824.56653442
32.438145 282 1827 2861.95285576
35.054643 283 1835 2875.95285576
51.102472 284 1844 2886.95285576
31.618745 285 1849 2891.38558602
34.739803 286 1854 2897.95285576
34.634306 287 1876 2928.38558602
30.735437 288 1878 2928.6881957
42.942206 289 1881 2931.38558602
42.796103 290 1888 2942.38558602
40.237598 291 1895 2956.38558602
34.859149 292 1905 2982.65139602
12.130613 293 1931 3020.0128412
21.776984 294 1932 3021.88222852
26.671635 295 1935 3035.68447573
36.343680 296 1943 3055.0281554
14.867957 297 1959 3073.50331859
23.000000 298 1964 3081.42707958
22.066426 299 1973 3088.13795787
26.568214 300 1976 3089.07153227
20.433642 301 1979 3094.57159997
21.575149 302 1986 3105.14674911
25.960751 303 1994 3114.10749994
14.387056 304 2005 3123.84100652
21.844425 305 2008 3126.45395044
18.266493 306 2011 3128.10749994
22.116573 307 2016 3135.60952552
20.857026 308 2017 3136.25888165
22.097120 309 2022 3147.35600195
22.958364 310 2037 3167.23324811
15.791141 311 2038 3170.89404552
18.869657 312 2039 3172.10290485
14.906134 313 2061 3195.37191263
19.326820 314 2063 3197.46577827
20.261574 315 2067 3201.63348673
32.832292 316 2082 3214.46577827
27.675756 317 2083 3215.37191263
29.122547 318 2084 3215.63348673
42.436496 319 2096 3230.13895831
27.962711 320 2098 3232.25600177
27.764190 321 2110 3249.0201913
15.864949 322 2117 3252.60221402
22.709127 323 2124 3261.31134107
36.717074 324 2125 3262.73726524
25.622481 325 2133 3269.93382217
21.005014 326 2134 3272.97514161
19.341298 327 2149 3284.31643913
20.576579 328 2150 3287.89301859
16.204524 329 2155 3293.09754267
16.183347 330 2156 3298.31643913
36.122871 331 2174 3319.7722416
17.959526 332 2176 3320.1050077
22.181453 333 2177 3322.14548172
10.012925 334 2193 3345.89793073
37.266857 335 2194 3346.37186445
23.513142 336 2205 3355.88500614
20.330534 337 2212 3362.89793073
21.676128 338 2213 3366.37186445
31.502749 339 2223 3376.56739637
29.323678 340 2226 3378.88500614
14.000000 341 2243 3397.19595389
22.383482 342 2244 3400.19595389
23.280173 343 2247 3411.81247217
8.049857 344 2258 3422.4175075
39.195965 345 2261 3431.36765086
17.165836 346 2262 3431.58334305
28.055778 347 2279 3466.01201917
15.661783 348 2284 3467.67380237
13.165164 349 2291 3477.21356699
17.729411 350 2299 3483.94297819
18.080567 351 2301 3485.02354522
36.374601 352 2306 3493.04840323
21.131664 353 2307 3495.15520894
19.787769 354 2312 3497.94297819
12.703154 355 2323 3510.11144713
30.425355 356 2326 3514.33122217
