#data counter step time
27.738122 1 18 27.7381219952
26.088374 2 44 64.8241726479
19.661607 3 46 74.7995129217
21.710480 4 73 112.379417221
28.731531 5 79 121.110947904
18.722979 6 82 122.833927385
29.179022 7 104 144.089385931
42.882613 8 111 177.601670539
70.160091 9 128 230.761761819
44.523117 10 144 246.284879211
31.822719 11 160 259.761761819
23.956662 12 165 266.696329051
24.222880 13 204 352.804646376
35.665599 14 209 365.470245374
23.995910 15 220 387.371520573
23.606014 16 236 415.001200145
34.900808 17 242 431.111163889
27.954677 18 255 472.895559946
43.808167 19 271 508.979266391
27.480617 20 291 547.53790091
22.161406 21 354 626.411284627
27.105359 22 375 658.447763485
20.635932 23 383 674.409838494
25.395089 24 410 702.705955869
21.770318 25 414 710.205679713
35.421988 26 447 761.205679713
49.380128 27 462 812.205679713
